treeid,qlegalstatus,qspecies,qaddress,siteorder,qsiteinfo,qcaretaker,plantdate,age,dbh,plotsize,latitude,longitude,location_2,location
208975,Significant Tree,Eucalyptus globulus :: Blue Gum,100 Yerba Buena Ave,4,Sidewalk: Curb side : Yard,Private,2016,7,31,Width 6ft,37.73664897,-122.4626168,POINT(-122.4626168 37.73664897),POINT(-122.4626168 37.73664897)
83490,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2034 48th Ave,1,Sidewalk: Curb side : Cutout,Private,2008,15,3,3x3,37.74845554,-122.5071655,POINT(-122.5071655 37.74845554),POINT(-122.5071655 37.74845554)
13015,DPW Maintained,Olea europaea 'Fruitless' :: Fruitless Olive,407 Lombard St,1,Sidewalk: Curb side : Cutout,Private,2016,7,12,3X3,37.80335191,-122.4084493,POINT(-122.4084493 37.80335191),POINT(-122.4084493 37.80335191)
251751,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,125 South Hill Blvd,1,Sidewalk: Curb side : Cutout,Private,2017,6,3,3x3,37.71048518,-122.4309213,POINT(-122.4309213 37.71048518),POINT(-122.4309213 37.71048518)
5158,DPW Maintained,Pyrus calleryana :: Ornamental Pear,275 Divisadero St,1,Sidewalk: Curb side : Cutout,Private,1990,33,3,3X3,37.77174952,-122.4372561,POINT(-122.4372561 37.77174952),POINT(-122.4372561 37.77174952)
27384,Permitted Site,Lophostemon confertus :: Brisbane Box,2200 Hyde St,1,Sidewalk: Curb side : Cutout,Private,2018,5,3,3X3,37.80119183,-122.4193687,POINT(-122.4193687 37.80119183),POINT(-122.4193687 37.80119183)
109058,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,130 Newton St,1,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.71280505,-122.4384601,POINT(-122.4384601 37.71280505),POINT(-122.4384601 37.71280505)
35874,Permitted Site,Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',50 Dorman Ave,4,Sidewalk: Curb side : Cutout,Private,1998,25,9,3x3,37.73970164,-122.4033382,POINT(-122.4033382 37.73970164),POINT(-122.4033382 37.73970164)
109394,Permitted Site,Olea Majestic Beauty ::,1619X York St,3,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.74748419,-122.4066704,POINT(-122.4066704 37.74748419),POINT(-122.4066704 37.74748419)
31434,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,4301 21st St,1,Sidewalk: Curb side : Cutout,Private,1995,28,4,,37.75530799,-122.4393453,POINT(-122.4393453 37.75530799),POINT(-122.4393453 37.75530799)
60388,DPW Maintained,Prunus cerasifera :: Cherry Plum,1454 Palou Ave,1,Sidewalk: Curb side : Cutout,Private,1982,41,1,,37.73248169,-122.3880855,POINT(-122.3880855 37.73248169),POINT(-122.3880855 37.73248169)
138948,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,738 HAYES ST,1,Sidewalk: Curb side : Cutout,Private,2008,15,4,Width 0ft,37.7762322,-122.4286181,POINT(-122.4286181 37.7762322),POINT(-122.4286181 37.7762322)
30877,DPW Maintained,Maytenus boaria :: Mayten,264 Fair Oaks St,1,Sidewalk: Curb side : Cutout,Private,1995,28,4,,37.75245317,-122.4241059,POINT(-122.4241059 37.75245317),POINT(-122.4241059 37.75245317)
9424,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,701X Golden Gate Ave,4,Sidewalk: Curb side : Cutout,Private,1994,29,12,3X3,37.78069501,-122.422451,POINT(-122.422451 37.78069501),POINT(-122.422451 37.78069501)
4845,DPW Maintained,Agonis flexuosa :: Peppermint Willow,202 Cortland Ave,1,Sidewalk: Curb side : Cutout,Private,1992,31,24,3X3,37.73955003,-122.4193959,POINT(-122.4193959 37.73955003),POINT(-122.4193959 37.73955003)
